participant,expPart,block,trial,condition,screenID,stepID,position,initial_item,final_item,npl_items,answer,acc,rt,updPos
1,training,4,20,training,memory,6,5,위,NA,NA,NULL,NA,NA,NA
1,training,4,20,training,updating,1,3,큼,표,NA,NULL,NA,NA,yes
1,training,4,20,training,updating,2,1,조,문,NA,NULL,NA,NA,yes
1,training,4,20,training,updating,3,5,위,뿌,NA,NULL,NA,NA,yes
1,training,4,20,training,retrieval,1,0,보,보,뜻;았;효;드;눈;낼,보,TRUE,2130.699999988079,no
1,training,4,20,training,retrieval,2,1,조,문,뜻;았;효;드;눈;낼,낼,FALSE,955.7999999523163,yes
1,training,4,20,training,retrieval,3,3,큼,표,뜻;았;효;드;눈;낼,위,FALSE,2684.399999976158,yes
1,training,4,20,training,retrieval,4,5,위,뿌,뜻;았;효;드;눈;낼,르,FALSE,1373.1000000238419,yes
1,training,4,20,training,retrieval,5,2,까,까,뜻;았;효;드;눈;낼,까,TRUE,4282.600000023842,no
1,training,4,20,training,retrieval,6,4,르,르,뜻;았;효;드;눈;낼,르,TRUE,5189.800000011921,no
1,training,5,21,training,memory,1,0,표,NA,NA,NULL,NA,NA,NA
1,training,5,21,training,memory,2,1,큼,NA,NA,NULL,NA,NA,NA
1,training,5,21,training,memory,3,2,뿌,NA,NA,NULL,NA,NA,NA
1,training,5,21,training,memory,4,3,았,NA,NA,NULL,NA,NA,NA
1,training,5,21,training,memory,5,4,까,NA,NA,NULL,NA,NA,NA
